ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_SEC,NUM_BUREAU,NB_PROCURATION,NB_INSCRIT,NB_EMARGEMENT,NB_VOTANT,NB_VOTE_BLANC,NB_VOTE_NUL,NB_EXPRIME,ARTHAUD Nathalie,ROUSSEL Fabien,MACRON Emmanuel,LASSALLE Jean,LE PEN Marine,ZEMMOUR Eric,MELENCHON Jean-Luc,HIDALGO Anne,JADOT Yannick,PECRESSE Valerie,POUTOU Philippe,DUPONT-AIGNAN Nicolas,lat,lon
16-45,Présidentielle,2022,1,2022-04-10,14,61,16,16,45,46.0,1366.0,1045.0,1045,5.0,5.0,1035.0,0,9.0,441.0,16.0,67.0,140.0,158.0,14.0,56.0,112,5.0,17.0,48.83896496786254,2.2601226680171282
15-66,Présidentielle,2022,1,2022-04-10,13,57,15,15,66,94.0,1601.0,1266.0,1266,11.0,2.0,1253.0,2,9.0,489.0,25.0,100.0,131.0,273.0,18.0,81.0,109,2.0,14.0,48.839671292026445,2.2935908247097325
17-18,Présidentielle,2022,1,2022-04-10,03,68,17,17,18,40.0,1571.0,1182.0,1184,16.0,9.0,1159.0,2,14.0,320.0,26.0,93.0,69.0,450.0,33.0,75.0,56,9.0,12.0,48.89678416966071,2.31618954911135
14-12,Présidentielle,2022,1,2022-04-10,11,55,14,14,12,66.0,1589.0,1177.0,1177,16.0,4.0,1157.0,2,27.0,444.0,15.0,59.0,77.0,281.0,33.0,103.0,100,3.0,13.0,48.825550796917156,2.3268130563480574
11-12,Présidentielle,2022,1,2022-04-10,07,43,11,11,12,92.0,1685.0,1392.0,1393,22.0,3.0,1368.0,2,31.0,448.0,9.0,57.0,69.0,489.0,43.0,150.0,56,5.0,9.0,48.85665149022988,2.3755570763557
19-17,Présidentielle,2022,1,2022-04-10,16,76,19,19,17,60.0,1515.0,1176.0,1180,6.0,6.0,1168.0,6,22.0,336.0,11.0,49.0,85.0,468.0,25.0,92.0,47,12.0,15.0,48.8780484663253,2.383438137359042
12-15,Présidentielle,2022,1,2022-04-10,08,46,12,12,15,68.0,1618.0,1273.0,1273,17.0,4.0,1252.0,7,25.0,384.0,13.0,70.0,95.0,442.0,34.0,106.0,60,6.0,10.0,48.847926883306066,2.392095938121077
15-45,Présidentielle,2022,1,2022-04-10,13,57,15,15,45,60.0,1657.0,1332.0,1332,11.0,4.0,1317.0,2,15.0,490.0,13.0,87.0,98.0,349.0,16.0,120.0,95,9.0,23.0,48.832012133354375,2.3072751656793806
18-46,Présidentielle,2022,1,2022-04-10,03,69,18,18,46,53.0,1456.0,1141.0,1143,19.0,4.0,1120.0,4,24.0,367.0,13.0,61.0,39.0,409.0,36.0,86.0,66,5.0,10.0,48.8960885134674,2.3356522009162783
17-13,Présidentielle,2022,1,2022-04-10,03,67,17,17,13,79.0,1671.0,1324.0,1324,11.0,3.0,1310.0,6,13.0,619.0,17.0,54.0,118.0,240.0,25.0,106.0,96,6.0,10.0,48.88594549445175,2.312553040443332
12-30,Présidentielle,2022,1,2022-04-10,08,45,12,12,30,50.0,1426.0,1149.0,1149,15.0,5.0,1129.0,1,20.0,414.0,14.0,63.0,91.0,286.0,37.0,94.0,85,8.0,16.0,48.84686048352913,2.4015211802381273
11-10,Présidentielle,2022,1,2022-04-10,07,43,11,11,10,92.0,1647.0,1319.0,1319,13.0,3.0,1303.0,8,25.0,417.0,15.0,65.0,65.0,491.0,29.0,119.0,52,8.0,9.0,48.85493671108042,2.3776764416554537
13-15,Présidentielle,2022,1,2022-04-10,09,50,13,13,15,38.0,1718.0,1222.0,1222,16.0,8.0,1198.0,5,21.0,390.0,24.0,82.0,79.0,453.0,19.0,56.0,54,3.0,12.0,48.82536627452999,2.3647548270220753
17-26,Présidentielle,2022,1,2022-04-10,03,68,17,17,26,92.0,1642.0,1274.0,1274,13.0,6.0,1255.0,3,25.0,453.0,18.0,66.0,77.0,382.0,39.0,108.0,65,6.0,13.0,48.89325517009073,2.319960316526878
7-15,Présidentielle,2022,1,2022-04-10,02,28,07,07,15,55.0,1444.0,1188.0,1188,6.0,3.0,1179.0,4,15.0,560.0,19.0,74.0,124.0,130.0,17.0,71.0,149,1.0,15.0,48.85511440897325,2.3082472757845123
17-5,Présidentielle,2022,1,2022-04-10,03,67,17,17,5,88.0,1490.0,1235.0,1235,11.0,1.0,1223.0,1,15.0,580.0,12.0,46.0,84.0,222.0,21.0,120.0,113,2.0,7.0,48.88513535145493,2.3188343645443754
20-11,Présidentielle,2022,1,2022-04-10,15,77,20,20,11,62.0,1648.0,1212.0,1221,15.0,9.0,1197.0,4,30.0,212.0,12.0,47.0,47.0,713.0,26.0,64.0,23,10.0,9.0,48.872718782628965,2.3858870090001436
7-9,Présidentielle,2022,1,2022-04-10,12,27,07,07,9,82.0,1261.0,1029.0,1029,10.0,3.0,1016.0,1,11.0,489.0,7.0,53.0,116.0,100.0,9.0,76.0,144,3.0,7.0,48.84809879761869,2.3165201414525898
10-18,Présidentielle,2022,1,2022-04-10,05,40,10,10,18,53.0,1420.0,1012.0,1012,14.0,4.0,994.0,2,16.0,293.0,7.0,45.0,61.0,427.0,24.0,77.0,32,5.0,5.0,48.87644433794961,2.366004982081946
15-82,Présidentielle,2022,1,2022-04-10,13,60,15,15,82,52.0,1426.0,1116.0,1116,16.0,7.0,1093.0,2,26.0,345.0,16.0,72.0,113.0,341.0,20.0,44.0,91,4.0,19.0,48.84463263999574,2.276254805087677
16-36,Présidentielle,2022,1,2022-04-10,14,61,16,16,36,50.0,1503.0,1157.0,1158,5.0,3.0,1150.0,1,17.0,506.0,11.0,109.0,164.0,137.0,13.0,49.0,130,2.0,11.0,48.84998261001542,2.2770927100773157
13-52,Présidentielle,2022,1,2022-04-10,10,51,13,13,52,49.0,1367.0,1126.0,1126,12.0,3.0,1111.0,3,31.0,375.0,16.0,51.0,81.0,358.0,34.0,88.0,58,6.0,10.0,48.82806943681253,2.3460253211280038
18-11,Présidentielle,2022,1,2022-04-10,18,70,18,18,11,75.0,1593.0,1182.0,1186,4.0,5.0,1177.0,2,23.0,337.0,8.0,58.0,44.0,498.0,32.0,124.0,34,7.0,10.0,48.89639126571372,2.3449246155752084
19-26,Présidentielle,2022,1,2022-04-10,16,75,19,19,26,63.0,1455.0,1073.0,1073,16.0,5.0,1052.0,4,25.0,276.0,13.0,47.0,114.0,383.0,36.0,94.0,47,3.0,10.0,48.885106106262704,2.3849789452423553
11-36,Présidentielle,2022,1,2022-04-10,06,42,11,11,36,97.0,1745.0,1404.0,1405,13.0,3.0,1389.0,3,18.0,452.0,8.0,47.0,66.0,534.0,39.0,164.0,39,5.0,14.0,48.861932159421045,2.379897183165236
3-12,Présidentielle,2022,1,2022-04-10,05,09,03,01,12,72.0,1474.0,1121.0,1121,9.0,1.0,1111.0,3,20.0,454.0,13.0,34.0,43.0,332.0,29.0,117.0,54,6.0,6.0,48.86453670912125,2.3567889381421496
15-29,Présidentielle,2022,1,2022-04-10,12,58,15,15,29,79.0,1543.0,1276.0,1273,17.0,6.0,1250.0,3,16.0,549.0,14.0,56.0,150.0,216.0,24.0,86.0,120,5.0,11.0,48.84180920440235,2.305449665767658
19-48,Présidentielle,2022,1,2022-04-10,16,74,19,19,48,88.0,1919.0,1419.0,1419,10.0,7.0,1402.0,5,20.0,297.0,16.0,82.0,81.0,671.0,29.0,132.0,48,12.0,9.0,48.89196049419279,2.3811675379519417
18-53,Présidentielle,2022,1,2022-04-10,17,71,18,18,53,61.0,1473.0,1114.0,1114,9.0,2.0,1103.0,4,24.0,211.0,9.0,52.0,49.0,581.0,25.0,104.0,22,6.0,16.0,48.892758771226504,2.3556813423937464
13-46,Présidentielle,2022,1,2022-04-10,10,51,13,13,46,34.0,1719.0,1306.0,1306,20.0,6.0,1280.0,3,25.0,362.0,32.0,163.0,116.0,396.0,33.0,61.0,55,10.0,24.0,48.81890040371211,2.348020021248207
16-42,Présidentielle,2022,1,2022-04-10,14,61,16,16,42,42.0,1151.0,903.0,906,6.0,3.0,897.0,2,3.0,404.0,10.0,53.0,130.0,78.0,13.0,50.0,142,0.0,12.0,48.84160145490483,2.2602624512678404
19-69,Présidentielle,2022,1,2022-04-10,17,73,19,19,69,38.0,1674.0,1148.0,1148,13.0,5.0,1130.0,3,7.0,204.0,4.0,53.0,69.0,630.0,16.0,101.0,26,11.0,6.0,48.887082893747035,2.3829525071925777
20-2,Présidentielle,2022,1,2022-04-10,15,79,20,20,2,54.0,1159.0,957.0,957,10.0,2.0,945.0,0,32.0,290.0,8.0,54.0,43.0,331.0,30.0,86.0,51,7.0,13.0,48.86086859233703,2.4015791492275826
17-7,Présidentielle,2022,1,2022-04-10,03,67,17,17,7,87.0,1460.0,1200.0,1200,9.0,0.0,1191.0,1,14.0,532.0,11.0,44.0,75.0,246.0,29.0,105.0,119,4.0,11.0,48.883296981699274,2.3224547782852176
